epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1072.87,0.61737,0.3041,0.8944,0.97496,0.97844,0.98749,0.74557,0.95214,0.33869,1.05989,0.000371313,0.000371313,0.000371313
43,1098.05,0.62077,0.30309,0.89627,0.95885,0.96451,0.9831,0.74065,0.95998,0.38427,1.06006,0.000365125,0.000365125,0.000365125
44,1123.29,0.61612,0.29925,0.89806,0.9824,0.99028,0.98793,0.75784,0.91902,0.32868,1.0451,0.000358938,0.000358938,0.000358938
45,1148.87,0.62838,0.30198,0.89525,0.96904,0.97989,0.97628,0.74248,0.94631,0.37813,1.06216,0.00035275,0.00035275,0.00035275
46,1174.17,0.61734,0.29514,0.89753,0.98205,0.98652,0.98728,0.76254,0.91108,0.33011,1.03785,0.000346563,0.000346563,0.000346563
47,1199.46,0.62562,0.2994,0.89412,0.96674,0.98276,0.98025,0.7453,0.95546,0.36645,1.06176,0.000340375,0.000340375,0.000340375
48,1224.73,0.60621,0.29478,0.89094,0.96016,0.96753,0.98745,0.76752,0.88118,0.35739,1.02437,0.000334188,0.000334188,0.000334188
49,1250.12,0.60217,0.29242,0.89227,0.98566,0.99139,0.98789,0.76262,0.9176,0.32168,1.04196,0.000328,0.000328,0.000328
50,1275.44,0.60938,0.29158,0.89257,0.98413,0.98445,0.9883,0.76059,0.92516,0.32108,1.04758,0.000321812,0.000321812,0.000321812
51,1300.71,0.59906,0.28753,0.89069,0.97494,0.9859,0.98765,0.76521,0.90196,0.344,1.03652,0.000315625,0.000315625,0.000315625
